id,criterion,expected,provenance,note
autoscout24_129514,warranty_included,no,user,"""meeneemprijs ... zonder garantie""; the 12-month BOVAG pack is a paid add-on"
autoscout24_129514,reversing_camera,yes,structured,equipment: Parkeerhulp met camera
autoscout24_129514,leather_upholstery,yes,structured,vehicle.upholstery = 'Leder'
autoscout24_2709040739,warranty_included,unknown,text,description never mentions warranty
autoscout24_2709040739,reversing_camera,no,structured,no camera entry in the equipment list
autoscout24_2709040739,leather_upholstery,yes,structured,vehicle.upholstery = 'Leder'
autoscout24_473794,warranty_included,unknown,disputed,"description never mentions warranty; verdict_reasons records ""geen garantie inbegrepen"""
autoscout24_473794,reversing_camera,yes,structured,equipment: Parkeerhulp met camera
autoscout24_473794,leather_upholstery,yes,structured,vehicle.upholstery = 'Leder'
autoscout24_677215,warranty_included,no,user,"""BOVAG-garantie is in overleg mogelijk""; base pack carries only wettelijke garantie"
autoscout24_677215,reversing_camera,yes,structured,equipment: Parkeerhulp met camera
autoscout24_677215,leather_upholstery,yes,structured,vehicle.upholstery = 'Leder'
autoscout24_volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,warranty_included,yes,both,"Garantielabel: BOVAG Garantie (12 maanden); structured warranty ""12 maand"""
autoscout24_volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,reversing_camera,no,structured,no camera entry in the equipment list
autoscout24_volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,leather_upholstery,no,structured,vehicle.upholstery = 'Stof'
autoscout24_volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40,warranty_included,unknown,disputed,"ad contradicts itself: ""Broekhuis Basis (zonder meerprijs): Wettelijke garantie"" vs ""all-in prijs ... geleverd met 12 maanden BOVAG garantie"""
autoscout24_volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40,reversing_camera,yes,structured,equipment: Parkeerhulp met camera
